step,timestamp_s,episode,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor5_cmd,motor6_cmd,motor7_cmd,motor8_cmd,motor9_cmd,motor1_read,motor2_read,motor3_read,motor4_read,motor5_read,motor6_read,motor7_read,motor8_read,motor9_read,base_pos_x,base_pos_y,base_pos_z,base_ori_x,base_ori_y,base_ori_z,base_ori_w,module1_pos_x,module1_pos_y,module1_pos_z,module1_ori_x,module1_ori_y,module1_ori_z,module1_ori_w,module2_pos_x,module2_pos_y,module2_pos_z,module2_ori_x,module2_ori_y,module2_ori_z,module2_ori_w,module3_pos_x,module3_pos_y,module3_pos_z,module3_ori_x,module3_ori_y,module3_ori_z,module3_ori_w,optitrack_sync_ok,optitrack_max_age_ms
0,1.022,0,371,299,-266,2493,-4871,1311,1886,-395,-3007,-896,984,-125,780,-3904,1646,1240,-151,-3003,-1.127615094,-0.301355690,0.082117379,0.000526360,-0.000512764,-0.000657615,0.999999523,-1.113968134,-0.307318032,0.270562828,0.005142774,0.065117747,0.004169801,0.997855663,-1.105556011,-0.334938437,0.479655832,0.053458456,0.060627099,0.002847966,0.996723831,-1.090213299,-0.377266943,0.691971600,0.084283806,0.038357411,0.001518444,0.995702088,1,14.694
1,2.046,0,355,634,-585,2472,-4440,901,1877,-203,-3190,-447,649,-573,1232,-4378,1168,1664,-232,-3191,-1.127582431,-0.301437587,0.082128465,0.001029941,-0.000191056,-0.000669193,0.999999285,-1.100134015,-0.321603626,0.267671734,0.071286902,0.132561415,0.009616685,0.988561213,-1.064985394,-0.392935365,0.463429362,0.196051523,0.118775889,-0.006862983,0.973349392,-1.031873703,-0.505029082,0.645550370,0.274861038,0.069437064,-0.027192073,0.958587766,1,5.084
2,3.070,0,224,970,-790,2304,-4008,637,1802,-11,-3307,-3,938,-789,1644,-4237,693,1715,-63,-3308,-1.127520919,-0.301519334,0.082113780,0.001717382,-0.000020715,-0.000447927,0.999998450,-1.086615562,-0.328449130,0.263100266,0.102190860,0.187951982,0.014212262,0.976744175,-1.021183014,-0.420685112,0.441764325,0.271131843,0.212593183,-0.008909482,0.938729107,-0.954285800,-0.562098205,0.591483057,0.368832141,0.166545004,-0.040137492,0.913572490,1,12.609
3,4.094,0,559,912,-1067,2736,-4083,280,1994,-45,-3465,370,926,-1060,1996,-4135,291,1831,-62,-3464,-1.127560496,-0.301541299,0.081988715,0.002591705,-0.001895313,-0.001569284,0.999993682,-1.074915171,-0.336838633,0.257940292,0.142203182,0.241415039,0.018010406,0.959777415,-0.983374655,-0.447599769,0.411797732,0.336919993,0.309485495,-0.006231140,0.889193416,-0.892123938,-0.612393022,0.519636214,0.445551097,0.254181445,-0.057164092,0.856509447,1,3.612
4,5.118,0,528,607,-731,2696,-4475,712,1977,-219,-3274,372,639,-770,2209,-4418,535,1831,-217,-3316,-1.127503157,-0.301454663,0.082123987,0.001840826,-0.000297168,-0.000855849,0.999997973,-1.072992921,-0.324894339,0.259495437,0.093315750,0.243546233,0.010864383,0.965328634,-0.978299379,-0.427570343,0.417324722,0.341651678,0.315359145,-0.021181429,0.885084212,-0.888597012,-0.591583431,0.527345240,0.438481033,0.257005900,-0.071935236,0.858200252,1,18.825
5,6.142,0,475,943,-1014,2626,-4043,350,1946,-27,-3435,374,872,-1005,2295,-4308,513,1831,-77,-3435,-1.127639413,-0.301506758,0.081971094,0.002201375,-0.002035098,-0.001744473,0.999994040,-1.074305892,-0.334163070,0.258022547,0.124779612,0.247412726,0.017353164,0.960685074,-0.981238544,-0.449087024,0.407448769,0.369909883,0.313792884,-0.017444545,0.874297678,-0.894309759,-0.623401999,0.500868976,0.499408662,0.268734038,-0.073494785,0.820348382,1,9.296
6,7.166,0,138,1063,-797,2194,-3889,628,1754,41,-3311,145,998,-817,2258,-4033,483,1753,-20,-3343,-1.127596855,-0.301488429,0.082003415,0.002797188,-0.002436123,-0.001422953,0.999992132,-1.082926393,-0.329635024,0.261366636,0.119262628,0.209977001,0.010906528,0.970343828,-0.996380448,-0.438075274,0.419316173,0.354736865,0.314430475,-0.002765773,0.880504131,-0.906770170,-0.606297493,0.523625970,0.457152635,0.250850648,-0.055545967,0.851469338,1,8.179
7,8.190,0,93,772,-461,2136,-4263,1060,1728,-125,-3119,85,786,-510,2136,-4223,836,1725,-125,-3195,-1.127503037,-0.301497221,0.082096443,0.002285407,0.000881288,-0.001060213,0.999996424,-1.082715392,-0.319721818,0.263393939,0.067306317,0.207192883,0.014056407,0.975880802,-1.000484347,-0.411108106,0.433954120,0.311929077,0.281600595,-0.010204602,0.907357275,-0.915740550,-0.565143526,0.561067879,0.407983363,0.229004845,-0.057449199,0.881933153,1,7.568
8,9.214,0,50,479,-125,2081,-4640,1492,1703,-292,-2927,33,499,-171,2085,-4622,1326,1701,-294,-3015,-1.127455711,-0.301435083,0.082140096,0.002174491,0.000432686,-0.001021150,0.999997020,-1.081627011,-0.306998163,0.264619142,0.006720577,0.213131234,0.014078648,0.976899087,-1.007359505,-0.379241467,0.447403699,0.262829214,0.239003703,-0.022099692,0.934510350,-0.940228224,-0.517690837,0.600141823,0.337158531,0.157897845,-0.061808996,0.926051915,1,6.960
9,10.237,0,36,815,-447,2063,-4208,1078,1695,-100,-3111,33,752,-447,2065,-4410,1255,1692,-152,-3111,-1.127550483,-0.301500887,0.082103357,0.001747557,0.000091162,-0.000651192,0.999998331,-1.083265066,-0.317286342,0.264144152,0.051641446,0.204281941,0.013129625,0.977460861,-1.011834741,-0.402321488,0.442910850,0.289901316,0.225730777,-0.020292653,0.929833889,-0.946370244,-0.549365878,0.587599993,0.373404622,0.164130390,-0.054566879,0.911401451,1,13.635
10,11.261,0,-201,716,-111,1758,-4335,1510,1560,-157,-2919,-202,719,-171,1760,-4336,1204,1560,-160,-2991,-1.127516150,-0.301422477,0.082118914,0.001721071,0.000273254,-0.000865762,0.999998093,-1.089842439,-0.308589220,0.266763777,0.014671358,0.177061409,0.010787988,0.984031320,-1.027425766,-0.373424292,0.457612038,0.221177176,0.204181671,-0.014078753,0.953515708,-0.964675307,-0.494799286,0.625601172,0.289727002,0.145929515,-0.034320746,0.945296228,1,12.446
11,12.286,0,-373,552,225,1537,-4546,1942,1461,-250,-2727,-375,556,175,1534,-4546,1645,1463,-250,-2823,-1.127503872,-0.301368356,0.082128197,0.001503968,0.000217390,-0.000991574,0.999998331,-1.093312025,-0.296244502,0.267796397,-0.041958448,0.157545239,0.009079349,0.986578286,-1.045464635,-0.333990335,0.469880790,0.145609826,0.146811172,-0.011437623,0.978321731,-1.000803709,-0.421685308,0.663069785,0.195626795,0.095080569,-0.021896126,0.975812674,1,2.630
12,13.309,0,-38,216,226,1968,-4978,1943,1653,-442,-2727,-189,252,175,1708,-4886,1830,1529,-447,-2821,-1.127511978,-0.301339835,0.082107596,0.001341754,0.000339169,-0.000854991,0.999998689,-1.086156130,-0.294328868,0.266130149,-0.049795151,0.186699867,0.010603879,0.981096983,-1.030934334,-0.332063287,0.466053993,0.152972803,0.155507699,-0.017247304,0.975765944,-0.986251354,-0.420925051,0.658693671,0.195861965,0.094132110,-0.029802628,0.975648046,1,10.500
13,14.333,0,-149,552,1,1825,-4546,1654,1589,-250,-2855,-176,483,-11,1771,-4771,1670,1530,-310,-2856,-1.127530813,-0.301362336,0.082101271,0.001069708,0.000423245,-0.000598664,0.999999166,-1.085824013,-0.299955249,0.266086191,-0.026641687,0.186806202,0.011220356,0.981971443,-1.029071212,-0.348298490,0.463405132,0.182190478,0.154758990,-0.023471378,0.970724165,-0.983744264,-0.447979629,0.650492013,0.221786872,0.099078476,-0.031962771,0.969521821,1,17.750
14,15.357,0,-485,634,255,1393,-4440,1980,1398,-204,-2710,-479,593,208,1473,-4495,1847,1401,-272,-2794,-1.127558112,-0.301343352,0.082095243,0.001174313,0.000350059,-0.000548153,0.999999166,-1.096575737,-0.295067489,0.268436164,-0.048091326,0.140757978,0.008053550,0.988842607,-1.057421446,-0.327718258,0.472928256,0.128016055,0.117515124,-0.008267550,0.984750628,-1.024380088,-0.405940652,0.672538459,0.168494985,0.060290437,-0.021146931,0.983629644,1,6.598
15,16.381,0,-821,938,287,961,-4050,2022,1205,-30,-2691,-820,879,244,1017,-4171,1926,1210,-101,-2771,-1.127589583,-0.301388532,0.082099311,0.001346053,-0.000133660,-0.000708575,0.999998808,-1.110299349,-0.297951788,0.270544946,-0.037352551,0.084590495,0.006855675,0.995691836,-1.096353412,-0.320180446,0.479926676,0.074126922,0.066163085,0.002849756,0.995047569,-1.082064986,-0.369425923,0.690649033,0.099371396,0.028037317,-0.001424740,0.994654417,1,14.194
16,17.405,0,-981,762,623,755,-4276,2454,1114,-131,-2499,-984,768,568,752,-4263,2264,1119,-135,-2592,-1.127555728,-0.301285326,0.082097150,0.000895207,0.000252094,-0.000610041,0.999999404,-1.114863515,-0.286468416,0.270472616,-0.088128388,0.060766943,0.004752631,0.994242489,-1.116596103,-0.280446172,0.480986118,-0.006457447,0.012156670,0.004424421,0.999895453,-1.123448968,-0.289268017,0.697921097,-0.005601111,-0.016782196,0.003358425,0.999837875,1,3.078
17,18.429,0,-1137,1098,443,555,-3845,2223,1025,61,-2602,-1139,1021,429,551,-4017,2257,1032,-16,-2602,-1.127638102,-0.301390231,0.082091689,0.001242599,0.000350754,-0.000717355,0.999998927,-1.122535467,-0.293134511,0.270955682,-0.059641127,0.026342958,0.000619292,0.997872114,-1.138240337,-0.291464359,0.480759829,-0.014719669,-0.020734990,0.002068768,0.999674559,-1.157406569,-0.295249254,0.697243214,-0.022155887,-0.041479032,0.001878276,0.998892009,1,13.504
18,19.453,0,-1422,1433,393,188,-3413,2158,862,253,-2631,-1424,1359,379,222,-3595,2161,868,176,-2632,-1.127671361,-0.301418543,0.082101412,0.001115882,0.000100318,-0.000647827,0.999999166,-1.134910107,-0.298589051,0.270815402,-0.034538265,-0.027163183,-0.002042076,0.999032140,-1.169917464,-0.294492334,0.477519095,-0.048745651,-0.055099990,-0.006273897,0.997270525,-1.198604107,-0.281311184,0.692287803,-0.061865278,-0.054299310,-0.005162065,0.996593058,1,12.054
19,20.477,0,-1666,1769,301,-125,-2981,2039,723,445,-2684,-1667,1681,288,-122,-3189,2048,728,351,-2683,-1.127713799,-0.301448494,0.082112141,0.001274250,0.000063443,-0.000683077,0.999998927,-1.145712495,-0.304639369,0.269557714,-0.008234328,-0.078458220,-0.004093002,0.996875048,-1.195633888,-0.299648255,0.472414941,-0.076429851,-0.080095820,-0.016510282,0.993715584,-1.229619384,-0.273049802,0.684913814,-0.092687778,-0.056959104,-0.016616756,0.993925869,1,10.604
20,21.501,0,-1355,1794,-35,275,-2949,1607,900,459,-2875,-1430,1730,-34,165,-3095,1705,857,375,-2876,-1.127718329,-0.301403761,0.082070254,0.000610413,-0.000259565,-0.000563968,0.999999642,-1.138489723,-0.313684016,0.269568324,0.034325451,-0.044890467,-0.002716996,0.998398364,-1.170852423,-0.327253431,0.475759625,-0.033413634,-0.025310714,-0.007958858,0.999089360,-1.182335496,-0.324674368,0.692785025,-0.031160077,-0.004456856,-0.006525028,0.999483228,1,10.705
21,22.525,0,-1461,1564,301,139,-3245,2039,840,328,-2684,-1463,1559,238,139,-3246,1766,847,335,-2742,-1.127681017,-0.301357269,0.082098037,0.000904860,-0.000273132,-0.000884797,0.999999166,-1.138294935,-0.304691464,0.270266861,-0.006060282,-0.044860635,-0.002726661,0.998971224,-1.169858694,-0.304699749,0.477404863,-0.057477105,-0.020334721,-0.007668979,0.998110294,-1.179507375,-0.289955378,0.693799973,-0.059829887,0.000135949,-0.006125437,0.998189867,1,9.372
22,23.549,0,-1261,1228,437,395,-3677,2215,954,136,-2606,-1346,1243,400,333,-3591,2119,895,143,-2677,-1.127633095,-0.301277995,0.082104504,0.000502678,-0.000606039,-0.000717580,0.999999404,-1.131556273,-0.295911729,0.270829201,-0.046245370,-0.016428769,-0.001906701,0.998793244,-1.158526301,-0.285886347,0.478711277,-0.066222258,-0.025748042,-0.004083220,0.997464299,-1.173644543,-0.264525235,0.694190562,-0.079743169,-0.016783416,-0.003794132,0.996666968,1,8.348
23,24.573,0,-1024,892,536,700,-4109,2342,1090,-56,-2550,-1114,904,499,614,-4044,2254,1003,-50,-2624,-1.127582550,-0.301273555,0.082090229,0.000633241,-0.000072655,-0.000574378,0.999999642,-1.120996356,-0.288972497,0.270757884,-0.077688105,0.032468669,0.002349068,0.996446192,-1.133589149,-0.277921647,0.480468303,-0.041676126,-0.009673675,0.001210707,0.999083638,-1.145037889,-0.267340302,0.697073996,-0.059136599,-0.016691456,0.001797657,0.998108745,1,15.207
24,25.597,0,-1115,647,872,583,-4424,2774,1038,-196,-2358,-1121,651,818,579,-4421,2568,1003,-197,-2464,-1.127549052,-0.301156938,0.082122326,0.000304607,0.000390206,-0.000716844,0.999999642,-1.118928671,-0.276638240,0.269775987,-0.132772967,0.040715329,0.002640853,0.990306377,-1.135019541,-0.246260896,0.476897359,-0.076485232,-0.034727100,0.005334965,0.996451497,-1.159866691,-0.217462704,0.690493405,-0.108673453,-0.053905908,0.005115912,0.992601693,1,6.171
25,26.620,0,-917,786,535,837,-4245,2341,1150,-117,-2549,-1011,747,549,738,-4274,2548,1049,-151,-2550,-1.127595544,-0.301279932,0.082097322,0.000286292,-0.000504771,-0.000774208,0.999999523,-1.115752935,-0.285230666,0.270506114,-0.094743684,0.056054946,0.003812643,0.993915021,-1.126776814,-0.271920383,0.479646891,-0.034911029,-0.026524158,0.003220357,0.999033213,-1.148101449,-0.262402833,0.695555866,-0.062243726,-0.045279447,0.003470275,0.997027338,1,13.588
26,27.645,0,-1186,1122,468,491,-3813,2255,997,75,-2588,-1187,1048,455,511,-3970,2257,1002,3,-2588,-1.127615929,-0.301333725,0.082093738,0.000780093,-0.000295153,-0.000491199,0.999999523,-1.124765635,-0.292122513,0.270839393,-0.063587211,0.017427064,-0.000366527,0.997824073,-1.145002007,-0.285898149,0.480050683,-0.031200150,-0.032659341,0.000291352,0.998979390,-1.167964458,-0.279754400,0.696027815,-0.049785469,-0.046702910,0.001091940,0.997666836,1,3.401
27,28.668,0,-1392,991,805,227,-3981,2687,879,1,-2396,-1394,996,753,226,-3972,2503,885,2,-2481,-1.127626538,-0.301261395,0.082098454,0.000563537,-0.000512934,-0.000760735,0.999999404,-1.131013393,-0.282815754,0.270244896,-0.105933055,-0.013228912,-0.002519896,0.994282126,-1.165863276,-0.252705306,0.474917680,-0.100615554,-0.071364075,-0.001782758,0.992361128,-1.203652263,-0.213481754,0.684912622,-0.131408960,-0.080635965,-0.001422432,0.988042235,1,10.986
28,29.692,0,-1483,1327,560,109,-3549,2373,827,192,-2535,-1484,1251,548,110,-3725,2467,833,117,-2535,-1.127700686,-0.301350296,0.082072370,0.000863476,-0.000144825,-0.000602103,0.999999523,-1.136208415,-0.291328639,0.270396650,-0.066697530,-0.037436198,-0.003820309,0.997063339,-1.180536389,-0.270728528,0.474106640,-0.093301393,-0.093866639,-0.007994320,0.991171062,-1.226191163,-0.233627960,0.682827830,-0.128698826,-0.097066283,-0.008665657,0.986883819,1,10.418
29,30.716,0,-1708,1216,896,-180,-3692,2805,698,129,-2343,-1707,1218,845,-172,-3691,2495,703,118,-2427,-1.127714396,-0.301246971,0.082108706,0.000414314,-0.000274451,-0.000729356,0.999999642,-1.143183231,-0.282542020,0.269531995,-0.109104551,-0.080592260,-0.007328455,0.990730822,-1.199024439,-0.241726667,0.466843188,-0.147725001,-0.115775429,-0.007407239,0.982200861,-1.251763105,-0.178841636,0.667225480,-0.196552485,-0.112812519,-0.015915556,0.973851740,1,9.372
30,31.740,0,-1410,1254,560,203,-3643,2373,869,151,-2536,-1496,1220,573,112,-3684,2541,810,118,-2535,-1.127696753,-0.301311344,0.082062781,0.000568068,-0.000127974,-0.000667157,0.999999642,-1.136425138,-0.289999694,0.270442665,-0.074144512,-0.038266744,-0.002603423,0.996509731,-1.182220221,-0.262915909,0.472599059,-0.117352143,-0.098312676,-0.009492811,0.988166451,-1.227891445,-0.213854462,0.678737938,-0.159915969,-0.093493856,-0.011840752,0.982621789,1,8.308
31,32.764,0,-1486,994,896,105,-3977,2805,825,2,-2343,-1490,999,805,107,-3952,2508,810,6,-2437,-1.127614141,-0.301220596,0.082121313,0.000510614,-0.000484011,-0.000759284,0.999999523,-1.134063363,-0.280918330,0.270034969,-0.113729395,-0.029151956,-0.003561708,0.993077636,-1.176940680,-0.243475512,0.471694171,-0.128035754,-0.094199821,-0.003498699,0.987279654,-1.221931100,-0.189017668,0.676482916,-0.174497068,-0.092900276,-0.007060183,0.980240047,1,7.316
32,33.788,0,-1724,1330,798,-200,-3545,2678,690,194,-2400,-1725,1258,788,-189,-3747,2610,695,123,-2437,-1.127715230,-0.301291734,0.082112946,0.000501628,-0.000080576,-0.000554359,0.999999762,-1.144141436,-0.284265876,0.269332379,-0.099762768,-0.075842619,-0.005838159,0.992099404,-1.204056740,-0.246926099,0.466407031,-0.133640438,-0.143249437,-0.026263734,0.980270386,-1.266180634,-0.187082678,0.664863646,-0.189412087,-0.132375211,-0.016577022,0.972792447,1,6.111
33,34.812,0,-2060,1358,1106,-632,-3510,3075,497,210,-2223,-2042,1298,1068,-544,-3603,2880,502,137,-2310,-1.127883077,-0.301161766,0.082160503,-0.000060906,-0.001032819,-0.000483610,0.999999404,-1.155228853,-0.276016116,0.266508281,-0.129688829,-0.126497880,-0.009603124,0.983405828,-1.236460805,-0.218393445,0.450062037,-0.203627229,-0.199206769,-0.024207685,0.958262265,-1.317164421,-0.125183269,0.627616346,-0.280260205,-0.178577185,-0.035747670,0.942489505,1,21.482
34,35.836,0,-2396,1457,1343,-1064,-3382,3379,305,267,-2088,-2382,1393,1305,-1000,-3498,3247,307,194,-2192,-1.127907872,-0.301173389,0.082111098,-0.001660329,-0.001507777,-0.000830518,0.999997139,-1.166408539,-0.270212114,0.262659073,-0.153469399,-0.183034077,-0.012457305,0.970974028,-1.270411968,-0.196472764,0.427339166,-0.261135131,-0.267106026,-0.021685835,0.927357793,-1.371423244,-0.078204401,0.576497257,-0.352306724,-0.239210188,-0.061957061,0.902673721,1,3.402
35,36.860,0,-2060,1411,1053,-632,-3442,3007,498,240,-2254,-2135,1395,1047,-818,-3498,3048,469,195,-2255,-1.127917647,-0.301179916,0.082159020,-0.000274648,-0.001357734,-0.000552135,0.999998927,-1.159093738,-0.277359605,0.265800357,-0.123947278,-0.147176936,-0.009983871,0.981262624,-1.252880812,-0.213495091,0.439641237,-0.240921259,-0.244470447,-0.033535331,0.938651443,-1.347092986,-0.102629073,0.598875105,-0.330393493,-0.218282565,-0.055977203,0.916547537,1,10.506
36,37.884,0,-2311,1326,1389,-955,-3551,3439,354,192,-2062,-2310,1324,1343,-838,-3550,3175,357,194,-2169,-1.127974510,-0.301130265,0.082141109,-0.001349128,-0.001685318,-0.000953552,0.999997258,-1.164737225,-0.267633080,0.263206393,-0.166528031,-0.172246397,-0.011011357,0.970813274,-1.264784455,-0.190527350,0.427886635,-0.273332149,-0.261977255,-0.024987921,0.925220609,-1.362302661,-0.067466691,0.575358391,-0.365895450,-0.232032299,-0.058993582,0.899333775,1,18.239
37,38.908,0,-2125,1476,1053,-717,-3357,3007,460,278,-2254,-2176,1423,1068,-775,-3458,3228,432,209,-2256,-1.127947927,-0.301161766,0.082151517,-0.000599297,-0.001528951,-0.000475657,0.999998569,-1.160578251,-0.277010769,0.265384823,-0.125812098,-0.152324840,-0.009688932,0.980242193,-1.257198095,-0.209959298,0.436334431,-0.252627283,-0.253326952,-0.027209429,0.933415532,-1.352881551,-0.094216928,0.591112435,-0.344183654,-0.223736838,-0.059778649,0.909893453,1,17.223
38,39.932,0,-1890,1140,1154,-415,-3789,3137,594,86,-2196,-1965,1158,1123,-433,-3702,3111,543,91,-2248,-1.127899766,-0.301071137,0.082186550,-0.000584139,-0.001320144,-0.000775007,0.999998689,-1.152241230,-0.272457510,0.266850829,-0.147272393,-0.117722616,-0.007315197,0.982038021,-1.234756351,-0.202767298,0.444163352,-0.248542354,-0.220538169,-0.026402585,0.942811012,-1.322448015,-0.089952707,0.605420709,-0.329089284,-0.198969379,-0.043162879,0.922089219,1,15.896
39,40.956,0,-1555,1133,826,17,-3799,2715,787,81,-2384,-1664,1137,825,-111,-3795,2800,712,90,-2385,-1.127759218,-0.301164597,0.082149513,-0.000279854,-0.000686378,-0.000530939,0.999999642,-1.141410947,-0.280777961,0.269754708,-0.116803750,-0.072116643,-0.006403858,0.990512550,-1.203321218,-0.232887119,0.462530106,-0.176592842,-0.160469323,-0.016319880,0.970977962,-1.271867514,-0.152695179,0.651162326,-0.246215522,-0.150085792,-0.021226155,0.957288742,1,6.825
40,41.980,0,-1267,1181,490,388,-3737,2282,951,109,-2576,-1363,1145,483,289,-3779,2342,872,93,-2577,-1.127708077,-0.301277339,0.082104050,0.000088519,-0.000282542,-0.000605784,0.999999762,-1.131859660,-0.290762454,0.270835221,-0.068404198,-0.016781842,-0.001872328,0.997514844,-1.168756247,-0.270955920,0.475971788,-0.090367213,-0.076098621,-0.004661525,0.992985904,-1.206293225,-0.234529391,0.686436176,-0.127364546,-0.074124411,-0.006375038,0.989061773,1,13.123
41,43.004,0,-931,888,447,819,-4114,2228,1143,-59,-2600,-1063,898,435,651,-4067,2232,1032,-55,-2600,-1.127647638,-0.301256657,0.082147047,0.000144191,-0.000761829,-0.000648826,0.999999523,-1.119937897,-0.289541304,0.270770669,-0.073708802,0.037270945,0.001284543,0.996582329,-1.134295106,-0.280366868,0.480223358,-0.037081789,-0.021530617,0.001848245,0.999078631,-1.152921677,-0.269443333,0.696270287,-0.062720560,-0.034291279,0.001916842,0.997439981,1,13.319
42,44.027,0,-1059,680,783,654,-4381,2660,1069,-177,-2408,-1065,682,731,649,-4382,2485,1032,-176,-2493,-1.127565145,-0.301182747,0.082104303,0.000491073,0.000174556,-0.000584124,0.999999762,-1.117999673,-0.279113322,0.270015627,-0.119710810,0.047437344,0.002937839,0.991670489,-1.131591558,-0.255624294,0.478313416,-0.055876996,-0.027286146,0.004635439,0.998054028,-1.153498530,-0.236339375,0.693390071,-0.084838644,-0.045860033,0.005412591,0.995324075,1,11.976
43,45.051,0,-1395,965,834,222,-4014,2725,877,-14,-2379,-1387,914,797,310,-4091,2617,883,-67,-2467,-1.127666473,-0.301256210,0.082079060,0.000334625,-0.000116236,-0.000649649,0.999999762,-1.130251884,-0.279859811,0.269992650,-0.118166246,-0.008757829,-0.002462978,0.992952168,-1.167148709,-0.247349918,0.473958343,-0.099068642,-0.085275501,0.000940497,0.991419554,-1.211859584,-0.207959354,0.682428896,-0.134266764,-0.097560078,0.001275670,0.986130297,1,10.903
44,46.076,0,-1059,717,746,654,-4334,2613,1069,-156,-2429,-1199,728,736,387,-4281,2610,976,-155,-2468,-1.127589822,-0.301218510,0.082105860,0.000364281,-0.000057514,-0.000595795,0.999999762,-1.122008562,-0.278995484,0.270064473,-0.123460799,0.024765689,0.001041845,0.992039800,-1.147174001,-0.245894700,0.475681305,-0.099009387,-0.062551141,0.003820656,0.993111253,-1.183266759,-0.206376716,0.685731292,-0.135086194,-0.079000339,0.003984227,0.987671375,1,9.985
45,47.099,0,-1395,824,975,222,-4195,2906,877,-95,-2298,-1349,767,933,404,-4229,2787,883,-128,-2397,-1.127614975,-0.301197380,0.082096562,0.000285153,-0.000052366,-0.000522391,0.999999881,-1.127479553,-0.274348915,0.269653857,-0.146410286,-0.005280681,-0.003636691,0.989203155,-1.162508845,-0.233384773,0.472080827,-0.112812765,-0.086925723,0.005403963,0.989791989,-1.208592057,-0.186714768,0.678650558,-0.155146733,-0.101569109,0.004031605,0.982647955,1,8.632
