demo_distance,demo_name,grasp_start
1,m_130824,148
1,m_130919,106
1,m_130957,91
1,m_140710,71
1,m_140726,52
1,m_140811,49
1,m_140827,93
1,m_140843,74
1,m_140858,105
1,m_140946,90
1,m_141001,35
2,m_131600,144
2,m_131703,154
2,m_131719,148
2,m_141027,132
2,m_141043,78
2,m_141059,83
2,m_141114,143
2,m_141130,89
2,m_141150,78
2,m_141205,94
2,m_141222,79
3,m_131108,128
3,m_131154,107
3,m_141254,149
3,m_141325,99
3,m_141341,176
3,m_141444,119
3,m_141514,87
3,m_133607,164
3,m_133622,88
3,m_133637,98
3,m_133711,116
3,m_133727,94
4,m_131404,183
4,m_141538,86
4,m_141554,136
4,m_141609,111
4,m_141625,137
4,m_141642,111
4,m_141658,158
4,m_153706,131
4,m_153723,90
4,m_153738,111
4,m_153753,82
5,m_131256,154
5,m_141812,93
5,m_141826,142
5,m_141843,101
5,m_141857,125
5,m_141914,138
5,m_141947,185
5,m_133903,128
5,m_133917,90
5,m_133931,149
5,m_153810,103
